id,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
16324,2021-04-21,VA,650982,506221.0,144761.0,1374,572.0,10654,8942.0,1712.0,14,3.0,04/22/2021 01:56:30 PM,Agree,Agree
16325,2020-12-13,OR,93853,92133.0,1720.0,1014,0.0,1155,1140.0,15.0,5,0.0,12/14/2020 02:36:45 PM,Agree,Agree
16326,2020-04-18,CT,17550,,,741,,1086,,,50,,04/18/2020 04:22:39 PM,Agree,Agree
16327,2020-02-29,AZ,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16328,2020-12-21,LA,287261,,,1116,-12.0,7107,6775.0,332.0,65,1.0,12/22/2020 02:35:48 PM,Not agree,Agree
16329,2020-03-11,AZ,9,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16330,2021-03-11,NV,297765,,,618,0.0,5080,,,13,0.0,03/12/2021 03:20:13 PM,,
16331,2021-04-15,ID,184557,148103.0,36454.0,210,57.0,2015,1755.0,260.0,9,1.0,04/16/2021 02:12:25 PM,Agree,Agree
16332,2020-01-25,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
16333,2020-02-18,RI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,
16334,2020-06-11,MI,65449,59496.0,5953.0,267,49.0,5985,5738.0,247.0,30,3.0,06/12/2020 02:17:59 PM,Agree,Agree
16335,2020-08-12,NC,140658,139113.0,1545.0,1308,94.0,2249,2246.0,3.0,45,0.0,02/19/2021 01:38:31 PM,Agree,Agree
16336,2020-10-21,MI,167872,150989.0,16883.0,1878,281.0,7418,7086.0,332.0,35,2.0,10/22/2020 01:34:46 PM,Agree,Agree
16337,2020-10-03,LA,168826,,,0,0.0,5545,5355.0,190.0,0,0.0,10/04/2020 01:35:23 PM,Not agree,Agree
16338,2020-05-14,MT,466,466.0,0.0,4,0.0,16,16.0,0.0,0,0.0,05/15/2020 04:11:22 PM,Agree,Agree
16339,2020-12-10,NJ,424282,,,5803,683.0,17608,15740.0,1868.0,66,0.0,12/10/2020 12:00:00 AM,Not agree,Agree
16340,2020-12-25,IL,930849,930849.0,0.0,5742,0.0,17154,15799.0,1355.0,194,38.0,12/26/2020 02:34:18 PM,Agree,Agree
16341,2020-05-05,MI,44397,44397.0,0.0,447,0.0,4179,4179.0,0.0,44,0.0,05/06/2020 04:23:08 PM,Agree,Agree
16342,2020-06-20,NE,17707,,,116,0.0,244,,,0,0.0,06/21/2020 02:32:57 PM,Not agree,Not agree
16343,2020-09-06,MD,112883,,,764,0.0,3804,3660.0,144.0,5,0.0,09/07/2020 01:37:36 PM,,Agree
16344,2020-05-17,WA,18433,,,146,0.0,1001,,,1,0.0,05/18/2020 04:01:54 PM,,
16345,2020-04-29,NV,4898,,,86,-7.0,237,,,5,-7.0,04/30/2020 04:07:01 PM,,
16346,2020-09-29,MI,136820,123633.0,13187.0,1118,220.0,7072,6751.0,321.0,21,1.0,09/30/2020 02:17:41 PM,Agree,Agree
16347,2020-07-12,MN,42772,,,1201,0.0,1542,1504.0,38.0,5,0.0,07/13/2020 03:19:34 PM,,Agree
16348,2020-08-26,ND,10800,10800.0,0.0,333,0.0,139,,,1,0.0,08/27/2020 01:42:08 PM,Agree,Not agree
16349,2020-01-24,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16350,2020-09-09,CT,53871,51666.0,2205.0,89,17.0,4474,3589.0,885.0,0,0.0,09/10/2020 02:02:53 PM,Agree,Agree
16351,2021-03-08,IN,667736,,,474,0.0,12744,12315.0,429.0,7,2.0,03/09/2021 02:47:41 PM,Not agree,Agree
16352,2020-10-02,VT,1768,,,13,0.0,58,,,0,0.0,10/03/2020 01:39:53 PM,Not agree,Not agree
16353,2021-02-09,VT,13105,,,59,5.0,186,,,3,0.0,02/10/2021 02:52:16 PM,Not agree,Not agree
16354,2020-06-02,NJ,161951,,,658,31.0,11770,11770.0,0.0,49,0.0,06/02/2020 12:00:00 AM,Not agree,Agree
16355,2020-11-30,IN,338977,,,5665,0.0,5722,5456.0,266.0,37,-1.0,12/01/2020 03:26:07 PM,Not agree,Agree
16356,2020-11-16,FSM,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,11/17/2020 02:52:47 PM,Agree,Agree
16357,2020-10-04,SC,152073,146208.0,5865.0,660,41.0,3556,,,11,0.0,04/21/2021 01:23:00 PM,Agree,Not agree
16358,2020-11-09,LA,193372,,,391,0.0,6048,5819.0,229.0,12,0.0,11/10/2020 02:45:45 PM,Not agree,Agree
16359,2020-04-21,MN,2721,,,154,0.0,179,179.0,0.0,19,0.0,04/21/2020 04:22:39 PM,,Agree
16360,2020-09-08,MT,8381,8381.0,0.0,2,0.0,119,119.0,0.0,1,0.0,09/09/2020 01:47:50 PM,Agree,Agree
16361,2021-01-05,DE,61100,58560.0,2540.0,767,49.0,947,844.0,103.0,10,0.0,01/06/2021 02:58:26 PM,Agree,Agree
16362,2020-03-09,NE,4,,,2,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
16363,2021-03-24,DC,43595,,,107,0.0,1053,,,2,0.0,03/25/2021 02:25:23 PM,,
16364,2021-01-19,MO,506043,,,2582,735.0,6263,,,7,0.0,01/21/2021 12:00:00 AM,Not agree,Not agree
16365,2020-11-01,VI,1378,,,0,0.0,21,,,0,0.0,11/02/2020 02:53:09 PM,,
16366,2021-03-10,WA,347131,,,728,132.0,5100,,,23,0.0,03/11/2021 03:36:21 PM,,
16367,2020-12-11,SC,252329,232176.0,20153.0,3645,468.0,4831,,,26,4.0,04/21/2021 01:23:00 PM,Agree,Not agree
16368,2021-04-12,GU,7847,,,14,1.0,136,,,0,0.0,04/13/2021 02:00:37 PM,Not agree,Not agree
16369,2020-08-28,AZ,200658,198978.0,1680.0,519,45.0,4978,4709.0,269.0,49,13.0,08/29/2020 01:42:50 PM,Agree,Agree
16370,2021-04-25,CT,334766,307604.0,27162.0,0,0.0,8047,6617.0,1430.0,0,0.0,04/26/2021 01:45:41 PM,Agree,Agree
16371,2020-12-19,MI,496056,458852.0,37204.0,4181,285.0,12074,11461.0,613.0,206,19.0,12/20/2020 02:32:33 PM,Agree,Agree
16372,2020-08-11,FSM,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,08/12/2020 01:50:14 PM,Agree,Agree
16373,2021-04-21,MI,895445,804724.0,90721.0,5973,389.0,18130,17031.0,1099.0,44,-1.0,04/22/2021 01:56:30 PM,Agree,Agree
16374,2020-06-19,SC,23490,23454.0,36.0,1074,10.0,663,,,4,0.0,04/21/2021 01:23:00 PM,Agree,Not agree
16375,2020-07-24,MN,50291,,,801,0.0,1611,1571.0,40.0,5,0.0,07/25/2020 05:40:06 PM,,Agree
16376,2021-01-08,NJ,588731,516608.0,72123.0,23925,18156.0,19756,17697.0,2059.0,110,0.0,01/09/2021 03:26:08 PM,Agree,Agree
16377,2020-12-14,ND,88393,86230.0,2163.0,326,84.0,1170,,,13,0.0,12/15/2020 02:39:02 PM,Agree,Not agree
16378,2020-09-07,ND,13872,13872.0,0.0,71,0.0,156,,,0,0.0,09/08/2020 02:47:00 PM,Agree,Not agree
16379,2020-04-24,CA,39254,,,1885,0.0,1562,,,93,0.0,05/25/2020 03:38:40 PM,Not agree,Not agree
16380,2020-09-13,AL,138755,125795.0,12960.0,1109,137.0,2351,2218.0,133.0,1,0.0,09/14/2020 02:01:21 PM,Agree,Agree
16381,2020-09-29,MT,12876,12876.0,0.0,463,0.0,179,179.0,0.0,5,0.0,09/30/2020 02:17:41 PM,Agree,Agree
16382,2020-03-15,WA,708,,,66,,42,,,2,,03/26/2020 04:22:39 PM,,
16383,2020-02-20,MI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16384,2020-05-03,AL,7888,7888.0,0.0,277,0.0,290,290.0,0.0,2,0.0,05/04/2020 10:49:24 PM,Agree,Agree
16385,2020-02-05,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
16386,2021-02-23,MD,378490,,,862,0.0,7789,7607.0,182.0,27,0.0,02/24/2021 02:56:12 PM,,Agree
16387,2020-05-05,VA,20256,19357.0,899.0,764,47.0,713,690.0,23.0,29,1.0,05/06/2020 04:23:08 PM,Agree,Agree
16388,2020-10-29,ME,6570,5829.0,741.0,103,23.0,146,145.0,1.0,0,0.0,10/30/2020 01:37:23 PM,Agree,Agree
16389,2020-08-29,KY,47577,43507.0,4070.0,820,124.0,921,913.0,8.0,3,0.0,08/30/2020 02:49:52 PM,Agree,Agree
16390,2020-04-30,CT,27700,26140.0,1560.0,933,58.0,2257,1695.0,562.0,89,22.0,05/01/2020 09:00:19 PM,Agree,Agree
16391,2020-01-30,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16392,2021-03-15,VI,2767,,,0,0.0,25,,,0,0.0,03/16/2021 02:12:32 PM,,
16393,2020-06-17,CT,45429,43487.0,1942.0,80,8.0,4219,3373.0,846.0,9,-2.0,06/18/2020 05:16:14 PM,Agree,Agree
16394,2021-01-08,LA,341431,,,3377,824.0,7833,7411.0,422.0,105,13.0,01/09/2021 03:26:08 PM,Not agree,Agree
16395,2020-12-05,WI,437918,409386.0,28532.0,5711,880.0,3934,3702.0,232.0,92,15.0,12/06/2020 02:51:16 PM,Agree,Agree
16396,2021-02-26,IL,1183667,1183667.0,0.0,2441,0.0,22675,20460.0,2215.0,68,14.0,02/27/2021 02:51:23 PM,Agree,Agree
16397,2020-01-22,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
